2025-09-01 20:28:30,901 - LookupTableRL - INFO - Lookup Table RL Agent initialized
2025-09-01 20:28:30,901 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,015 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,115 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,225 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,332 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,439 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,549 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,661 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,770 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,882 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:31,991 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,097 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,203 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,304 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,415 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,527 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,627 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,736 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,837 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:32,949 - LookupTableRL - INFO - Decision: XGBoost for state ('81-100%', 'Safe', 'Normal')
2025-09-01 20:28:33,057 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,166 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,269 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,379 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,480 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,593 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,703 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,814 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:33,919 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:34,026 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
2025-09-01 20:28:34,136 - LookupTableRL - INFO - Decision: TST for state ('61-80%', 'Safe', 'Confirming')
