Battery_Level,Temperature,Threat_State,Action,Action_Label
0-20%,Safe,Normal,0,No_DDoS
0-20%,Safe,Confirming,0,No_DDoS
0-20%,Safe,Confirmed,0,No_DDoS
0-20%,Warning,Normal,0,No_DDoS
0-20%,Warning,Confirming,0,No_DDoS
0-20%,Warning,Confirmed,0,No_DDoS
0-20%,Critical,Normal,0,No_DDoS
0-20%,Critical,Confirming,0,No_DDoS
0-20%,Critical,Confirmed,0,No_DDoS
21-40%,Safe,Normal,0,No_DDoS
21-40%,Safe,Confirming,1,XGBoost
21-40%,Safe,Confirmed,1,XGBoost
21-40%,Warning,Normal,0,No_DDoS
21-40%,Warning,Confirming,1,XGBoost
21-40%,Warning,Confirmed,1,XGBoost
21-40%,Critical,Normal,0,No_DDoS
21-40%,Critical,Confirming,0,No_DDoS
21-40%,Critical,Confirmed,0,No_DDoS
41-60%,Safe,Normal,1,XGBoost
41-60%,Safe,Confirming,2,TST
41-60%,Safe,Confirmed,1,XGBoost
41-60%,Warning,Normal,1,XGBoost
41-60%,Warning,Confirming,2,TST
41-60%,Warning,Confirmed,1,XGBoost
41-60%,Critical,Normal,0,No_DDoS
41-60%,Critical,Confirming,0,No_DDoS
41-60%,Critical,Confirmed,0,No_DDoS
61-80%,Safe,Normal,1,XGBoost
61-80%,Safe,Confirming,2,TST
61-80%,Safe,Confirmed,1,XGBoost
61-80%,Warning,Normal,1,XGBoost
61-80%,Warning,Confirming,2,TST
61-80%,Warning,Confirmed,1,XGBoost
61-80%,Critical,Normal,0,No_DDoS
61-80%,Critical,Confirming,0,No_DDoS
61-80%,Critical,Confirmed,0,No_DDoS
81-100%,Safe,Normal,1,XGBoost
81-100%,Safe,Confirming,2,TST
81-100%,Safe,Confirmed,1,XGBoost
81-100%,Warning,Normal,1,XGBoost
81-100%,Warning,Confirming,2,TST
81-100%,Warning,Confirmed,1,XGBoost
81-100%,Critical,Normal,0,No_DDoS
81-100%,Critical,Confirming,0,No_DDoS
81-100%,Critical,Confirmed,0,No_DDoS
